date,area,cases,tests,deaths
2020-09-28,Antrim and Newtownabbey,7,95,0
2020-09-29,Antrim and Newtownabbey,16,96,0
2020-09-30,Antrim and Newtownabbey,36,138,0
2020-10-01,Antrim and Newtownabbey,21,137,0
2020-10-02,Antrim and Newtownabbey,21,149,0
2020-10-03,Antrim and Newtownabbey,23,118,1
2020-10-04,Antrim and Newtownabbey,19,96,0
2020-10-05,Antrim and Newtownabbey,32,187,0
2020-10-06,Antrim and Newtownabbey,31,254,0
2020-10-07,Antrim and Newtownabbey,60,288,0
2020-10-08,Antrim and Newtownabbey,50,222,0
2020-10-09,Antrim and Newtownabbey,50,170,0
2020-10-10,Antrim and Newtownabbey,34,113,0
2020-10-11,Antrim and Newtownabbey,56,140,0
2020-10-12,Antrim and Newtownabbey,67,211,0
2020-10-13,Antrim and Newtownabbey,51,205,1
2020-10-14,Antrim and Newtownabbey,56,214,0
2020-10-15,Antrim and Newtownabbey,50,176,1
2020-10-16,Antrim and Newtownabbey,49,188,0
2020-10-17,Antrim and Newtownabbey,66,160,0
2020-10-18,Antrim and Newtownabbey,58,145,2
2020-10-19,Antrim and Newtownabbey,67,210,0
2020-10-20,Antrim and Newtownabbey,63,196,0
2020-10-21,Antrim and Newtownabbey,73,221,1
2020-10-22,Antrim and Newtownabbey,73,197,0
2020-10-23,Antrim and Newtownabbey,48,142,0
2020-10-24,Antrim and Newtownabbey,52,119,0
2020-10-25,Antrim and Newtownabbey,54,125,1
2020-10-26,Antrim and Newtownabbey,44,221,0
2020-10-27,Antrim and Newtownabbey,36,139,2
2020-10-28,Antrim and Newtownabbey,45,132,1
2020-10-29,Antrim and Newtownabbey,45,151,0
2020-10-30,Antrim and Newtownabbey,34,111,1
2020-10-31,Antrim and Newtownabbey,30,107,3
2020-11-01,Antrim and Newtownabbey,21,72,1
2020-11-02,Antrim and Newtownabbey,44,138,0
2020-11-03,Antrim and Newtownabbey,39,130,0
2020-11-04,Antrim and Newtownabbey,53,168,0
2020-11-05,Antrim and Newtownabbey,34,107,0
2020-11-06,Antrim and Newtownabbey,25,105,0
2020-11-07,Antrim and Newtownabbey,29,90,0
2020-11-08,Antrim and Newtownabbey,17,65,0
2020-11-09,Antrim and Newtownabbey,52,157,2
2020-11-10,Antrim and Newtownabbey,41,114,0
2020-11-11,Antrim and Newtownabbey,49,175,0
2020-11-12,Antrim and Newtownabbey,41,135,3
2020-11-13,Antrim and Newtownabbey,36,152,1
2020-11-14,Antrim and Newtownabbey,23,78,0
2020-11-15,Antrim and Newtownabbey,40,86,0
2020-11-16,Antrim and Newtownabbey,37,121,1
2020-11-17,Antrim and Newtownabbey,32,154,0
2020-11-18,Antrim and Newtownabbey,30,157,0
2020-11-19,Antrim and Newtownabbey,24,89,0
2020-11-20,Antrim and Newtownabbey,20,102,0
2020-11-21,Antrim and Newtownabbey,13,91,1
2020-11-22,Antrim and Newtownabbey,10,57,0
2020-11-23,Antrim and Newtownabbey,19,100,1
2020-11-24,Antrim and Newtownabbey,9,96,1
2020-11-25,Antrim and Newtownabbey,17,107,2
2020-11-26,Antrim and Newtownabbey,17,94,1
2020-11-27,Antrim and Newtownabbey,13,88,1
2020-11-28,Antrim and Newtownabbey,14,75,1
2020-11-29,Antrim and Newtownabbey,16,59,1
2020-11-30,Antrim and Newtownabbey,38,144,0
2020-12-01,Antrim and Newtownabbey,22,122,0
2020-12-02,Antrim and Newtownabbey,37,126,1
2020-12-03,Antrim and Newtownabbey,28,104,1
2020-12-04,Antrim and Newtownabbey,37,128,2
2020-12-05,Antrim and Newtownabbey,15,89,0
2020-12-06,Antrim and Newtownabbey,13,66,1
2020-12-07,Antrim and Newtownabbey,27,143,1
2020-12-08,Antrim and Newtownabbey,31,130,1
2020-12-09,Antrim and Newtownabbey,45,156,1
2020-12-10,Antrim and Newtownabbey,42,159,3
2020-12-11,Antrim and Newtownabbey,38,120,1
2020-12-12,Antrim and Newtownabbey,12,81,0
2020-12-13,Antrim and Newtownabbey,20,74,1
2020-12-14,Antrim and Newtownabbey,36,127,0
2020-12-15,Antrim and Newtownabbey,36,151,0
2020-12-16,Antrim and Newtownabbey,40,138,1
2020-12-17,Antrim and Newtownabbey,44,146,4
2020-12-18,Antrim and Newtownabbey,46,162,1
2020-12-19,Antrim and Newtownabbey,30,101,3
2020-12-20,Antrim and Newtownabbey,34,128,4
2020-12-21,Antrim and Newtownabbey,51,206,1
2020-12-22,Antrim and Newtownabbey,53,208,0
2020-12-23,Antrim and Newtownabbey,48,204,0
2020-12-24,Antrim and Newtownabbey,45,137,0
2020-12-25,Antrim and Newtownabbey,26,60,1
2020-12-26,Antrim and Newtownabbey,54,120,3
2020-12-27,Antrim and Newtownabbey,66,146,4
2020-12-28,Antrim and Newtownabbey,83,171,1
2020-12-29,Antrim and Newtownabbey,176,330,2
2020-12-30,Antrim and Newtownabbey,156,305,2
2020-12-31,Antrim and Newtownabbey,129,280,2
2021-01-01,Antrim and Newtownabbey,88,202,1
2021-01-02,Antrim and Newtownabbey,134,245,3
2021-01-03,Antrim and Newtownabbey,99,221,0
2021-01-04,Antrim and Newtownabbey,144,316,1
2021-01-05,Antrim and Newtownabbey,114,304,1
2021-01-06,Antrim and Newtownabbey,136,289,0
2021-01-07,Antrim and Newtownabbey,102,248,1
2021-01-08,Antrim and Newtownabbey,87,225,1
2021-01-09,Antrim and Newtownabbey,62,169,1
2021-01-10,Antrim and Newtownabbey,63,139,2
2021-01-11,Antrim and Newtownabbey,71,202,3
2021-01-12,Antrim and Newtownabbey,70,179,5
2021-01-13,Antrim and Newtownabbey,76,235,0
2021-01-14,Antrim and Newtownabbey,60,168,4
2021-01-15,Antrim and Newtownabbey,52,170,3
2021-01-16,Antrim and Newtownabbey,42,125,4
